   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           0,          0
   3,             3,               2,              0,         3,           0,          0
   4,             4,               2,              0,         5,           0,          0
   5,             5,               2,              0,         6,           0,          0
   6,             6,               2,              0,         8,           0,          0
   7,             7,               2,              0,        10,           0,          0
   8,             8,               2,              0,        13,           0,          0
   9,             9,               2,              0,        14,           0,          0
  10,            10,               2,              0,        16,           0,          0
  11,            11,               2,              0,        18,           0,          0
  12,            13,               3,              0,        21,           0,          0
  13,            14,               3,              0,        24,           0,          0
  14,            15,               3,              0,        26,           0,          0
  15,            16,               3,              0,        30,           0,          0
  16,            17,               3,              0,        33,           0,          0
  17,            19,               4,              0,        34,           0,          0
  18,            20,               4,              0,        38,           0,          0
  19,            21,               4,              0,        40,           0,          0
