   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time,,,,,,,,,,<RANDOM,,,,,,,,,,,,   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
153,6405,6256,4501,921,0,0,,,,,,,,,,,,,,,,,,,,,,153,221,70,0,561,0,0
154,6414,6264,3007,929,0,999,,,,,,,,,,,,,,,,,,,,,,154,222,70,0,569,0,0
155,6494,6343,3999,933,0,0,,,,,,,,,,,,,,,,,,,,,,155,223,70,0,576,0,0
156,6619,6467,3510,951,0,999,,,,,,,,,,,,,,,,,,,,,,156,224,70,0,582,0,1004
157,6657,6504,3999,960,0,0,,,,,,,,,,,,,,,,,,,,,,157,225,70,0,589,0,0
158,6661,6507,3502,961,0,1004,,,,,,,,,,,,,,,,,,,,,,158,226,70,0,585,0,0
159,6779,6624,4003,971,0,0,,,,,,,,,,,,,,,,,,,,,,159,228,71,0,594,0,1004
160,6813,6657,2999,983,0,1502,,,,,,,,,,,,,,,,,,,,,,160,229,71,0,604,0,0
161,6903,6746,4007,990,0,0,,,,,,,,,,,,,,,,,,,,,,161,230,71,0,606,0,998
162,7023,6865,4000,999,0,1000,,,,,,,,,,,,,,,,,,,,,,162,232,72,0,603,0,0
163,7090,6931,3509,1006,0,1000,,,,,,,,,,,,,,,,,,,,,,163,233,72,0,611,0,0
164,7132,6972,3998,1009,0,0,,,,,,,,,,,,,,,,,,,,,,164,234,72,0,616,0,999
165,7146,6985,4510,1017,0,0,,,,,,,,,,,,,,,,,,,,,,165,236,73,0,618,0,0
166,7155,6993,4001,1019,0,998,,,,,,,,,,,,,,,,,,,,,,166,239,75,0,623,0,1000
167,7247,7084,4009,1029,0,0,,,,,,,,,,,,,,,,,,,,,,167,243,78,0,630,0,0
168,7351,7187,4002,1041,0,0,,,,,,,,,,,,,,,,,,,,,,168,248,82,0,629,0,0
169,7474,7309,4499,1044,0,0,,,,,,,,,,,,,,,,,,,,,,169,249,82,1000,636,0,0
170,7598,7432,5006,1052,0,0,,,,,,,,,,,,,,,,,,,,,,170,250,82,0,641,0,0
171,7712,7545,4503,1056,0,0,,,,,,,,,,,,,,,,,,,,,,171,251,82,0,641,0,998
172,7883,7716,5008,1066,0,0,,,,,,,,,,,,,,,,,,,,,,172,252,82,0,648,0,0
173,7991,7823,5000,1077,0,0,,,,,,,,,,,,,,,,,,,,,,173,253,82,0,649,0,1000
174,8012,7843,4007,1089,0,1000,,,,,,,,,,,,,,,,,,,,,,174,254,82,0,656,0,0
175,8098,7928,4503,1097,0,1003,,,,,,,,,,,,,,,,,,,,,,175,256,83,0,665,0,0
176,8255,8084,4003,1117,0,1000,,,,,,,,,,,,,,,,,,,,,,176,257,83,0,668,0,0
177,8346,8174,4502,1124,0,1004,,,,,,,,,,,,,,,,,,,,,,177,258,83,1502,671,0,0
178,8435,8262,4003,1115,0,1000,,,,,,,,,,,,,,,,,,,,,,178,260,84,0,677,0,0
179,8608,8434,4504,1130,0,1004,,,,,,,,,,,,,,,,,,,,,,179,261,84,0,682,0,1004
180,8681,8506,4998,1136,0,0,,,,,,,,,,,,,,,,,,,,,,180,262,84,0,691,0,0
181,8809,8633,5510,1137,0,0,,,,,,,,,,,,,,,,,,,,,,181,263,84,0,698,0,1003
182,8954,8777,4999,1159,0,0,,,,,,,,,,,,,,,,,,,,,,182,264,84,0,699,0,0
183,9100,8922,5508,1162,0,0,,,,,,,,,,,,,,,,,,,,,,183,265,84,0,700,0,1000
184,9137,8958,5502,1148,0,0,,,,,,,,,,,,,,,,,,,,,,184,267,85,0,706,0,0
185,9168,8988,6006,1158,0,0,,,,,,,,,,,,,,,,,,,,,,185,269,86,0,713,0,1001
186,9297,9116,6026,1174,0,0,,,,,,,,,,,,,,,,,,,,,,186,272,88,0,713,0,0
187,9474,9292,6002,1177,0,0,,,,,,,,,,,,,,,,,,,,,,187,274,89,0,720,0,1000
188,9607,9424,5512,1177,0,0,,,,,,,,,,,,,,,,,,,,,,188,275,89,0,731,0,0
189,9735,9551,5502,1191,0,0,,,,,,,,,,,,,,,,,,,,,,189,276,89,0,734,0,998
190,9785,9600,6007,1191,0,0,,,,,,,,,,,,,,,,,,,,,,190,277,89,0,742,0,0
191,9815,9629,5506,1202,0,0,,,,,,,,,,,,,,,,,,,,,,191,279,90,0,746,0,1000
192,9870,9683,5998,1212,0,0,,,,,,,,,,,,,,,,,,,,,,192,282,92,0,750,0,0
193,9912,9724,5510,1219,0,999,,,,,,,,,,,,,,,,,,,,,,193,286,95,0,751,0,999
194,10071,9882,5501,1222,0,1004,,,,,,,,,,,,,,,,,,,,,,194,291,99,0,758,0,0
195,10107,9917,6004,1231,0,0,,,,,,,,,,,,,,,,,,,,,,195,292,99,0,766,0,998
196,10211,10020,5509,1253,0,999,,,,,,,,,,,,,,,,,,,,,,196,293,99,0,765,0,0
197,10272,10080,6000,1260,0,502,,,,,,,,,,,,,,,,,,,,,,197,294,99,0,769,0,1000
198,10343,10150,6007,1259,0,0,,,,,,,,,,,,,,,,,,,,,,198,295,99,0,778,0,504
199,10391,10197,6509,1260,0,0,,,,,,,,,,,,,,,,,,,,,,199,296,99,0,783,0,0
200,10395,10200,6000,1282,0,999,,,,,,,,,,,,,,,,,,,,,,200,297,99,0,783,0,1004
201,10537,10341,5511,1292,0,999,,,,,,,,,,,,,,,,,,,,,,201,298,99,0,784,0,0
202,10646,10449,5512,1299,0,999,,,,,,,,,,,,,,,,,,,,,,202,300,100,0,795,0,1003
203,10678,10480,5999,1300,0,1000,,,,,,,,,,,,,,,,,,,,,,203,301,100,0,803,0,0
204,10790,10591,5510,1314,0,1000,,,,,,,,,,,,,,,,,,,,,,204,302,100,0,799,0,1001
